Date,Brexit,ln_brexit
2020-03-22,3878,8.2630748358026
2020-03-23,4394,8.38799525294456
2020-03-24,4478,8.4069317971587
2020-03-25,4318,8.37054761107475
2020-03-26,4474,8.40603814205008
2020-03-27,5461,8.60538720215215
2020-03-28,3893,8.26693534761046
2020-03-29,4414,8.39253658681668
2020-03-30,4503,8.41249912030157
2020-03-31,4280,8.36170828857584
2020-04-01,4333,8.37401542173991
2020-04-02,4309,8.36846113761584
2020-04-03,4133,8.32675881451173
2020-04-04,4136,8.32748441618826
2020-04-05,4737,8.46315930292375
2020-04-06,7592,8.93485034028976
2020-04-07,7441,8.91476052739726
2020-04-08,5348,8.58447793822183
2020-04-09,4664,8.44762872803033
2020-04-10,4530,8.41847721847708
2020-04-11,3865,8.25971696102152
2020-04-12,4235,8.35113860708615
2020-04-13,4428,8.39570329382853
2020-04-14,4291,8.36427508499152
2020-04-15,4262,8.35749381265856
2020-04-16,4567,8.426611813185
2020-04-17,4205,8.34402957240705
2020-04-18,3996,8.29304913976844
2020-04-19,4362,8.38068594676157
2020-04-20,4851,8.48694014824522
2020-04-21,4498,8.41138813251926
2020-04-22,4394,8.38799525294456
2020-04-23,4397,8.38867776918081
2020-04-24,4053,8.30721262662831
2020-04-25,3867,8.2602342916073
2020-04-26,4013,8.29729437026692
2020-04-27,4608,8.43554920237573
2020-04-28,4678,8.45062594714412
2020-04-29,4368,8.38206051742474
2020-04-30,4256,8.35608503102148
2020-05-01,3696,8.21500643276158
2020-05-02,3757,8.23137604557397
2020-05-03,3899,8.2684753889826
2020-05-04,4236,8.3513747067213
2020-05-05,4382,8.38526052015541
2020-05-06,4273,8.36007143564403
2020-05-07,4253,8.35537989525363
2020-05-08,4091,8.3165447179294
2020-05-09,3700,8.21608809863232
2020-05-10,3846,8.25478892614873
2020-05-11,4466,8.4042484324001
2020-05-12,4158,8.33278946841796
2020-05-13,4147,8.33014046024638
2020-05-14,3988,8.29104513108173
2020-05-15,3961,8.28425179762192
2020-05-16,3288,8.09803475617607
2020-05-17,3555,8.17611034223734
2020-05-18,3813,8.24617155985756
2020-05-19,3953,8.28223006329669
2020-05-20,3868,8.26049285657319
2020-05-21,3660,8.20521842639541
2020-05-22,3447,8.14525956651687
2020-05-23,3220,8.07713663853845
2020-05-24,3703,8.21689858091361
2020-05-25,4037,8.30325712085294
2020-05-26,3941,8.279189777195
2020-05-27,4055,8.30770596654951
2020-05-28,3898,8.26821888006751
2020-05-29,3404,8.13270648969326
2020-05-30,3162,8.05896001776942
2020-05-31,3390,8.1285852003745
2020-06-01,3718,8.22094116828139
2020-06-02,3573,8.18116085802341
2020-06-03,4102,8.31922993863233
2020-06-04,3869,8.26075135470051
2020-06-05,4031,8.30176976311717
2020-06-06,3379,8.12533508671429
2020-06-07,3470,8.15190987294091
2020-06-08,3723,8.22228507387272
2020-06-09,3646,8.20138595523861
2020-06-10,3745,8.22817689595132
2020-06-11,3652,8.20303024171486
2020-06-12,3678,8.21012440516427
2020-06-13,3154,8.05642676752298
2020-06-14,3295,8.10016144693661
2020-06-15,3788,8.23959345430597
2020-06-16,3630,8.1969879272589
2020-06-17,3718,8.22094116828139
2020-06-18,3638,8.19918935907807
2020-06-19,3098,8.03851202097681
2020-06-20,2761,7.92334821193015
2020-06-21,2897,7.97143099776935
2020-06-22,3636,8.19863945529737
2020-06-23,4763,8.46863300080086
2020-06-24,3799,8.24249315318763
2020-06-25,3354,8.11790894238315
2020-06-26,3329,8.11042723757502
2020-06-27,3355,8.11820704940578
2020-06-28,3301,8.10198073185319
2020-06-29,3606,8.19035440376326
2020-06-30,4628,8.43988008831357
2020-07-01,4422,8.39434736141739
2020-07-02,3642,8.20028826028755
2020-07-03,3161,8.05864371221562
